investor,id_funding,name,sector,industry,subindustry,zip,amount,date
Draper Fisher Jurvetson,106879,Company 173445,Mobile & Telecommunications,Telecom Services,Wireless,Undisclosed,Undisclosed,8/22/2012
FirstMark Capital,99692,Company 778508,Consumer Products & Services,Clothing & Accessories,Men's Clothing,10011,0.5,5/24/2012
Imprint Venture Lab,89707,Company 636897,Internet,eCommerce,Multi-Product,10001,0.5,12/29/2011
Grape Arbor VC,107235,Company 810187,Internet,eCommerce,Apparel & Accessories,10001,1.13,8/26/2012
New York Angels,99692,Company 778504,Consumer Products & Services,Clothing & Accessories,Men's Clothing,10011,0.5,5/24/2012
Kartik Hosanagar,89790,Company 637244,Internet,Internet Software & Services,Data & Document Management,10038,0.86,12/30/2011
New York Angels,107235,Company 810183,Internet,eCommerce,Apparel & Accessories,10001,1.13,8/26/2012
Collaborative Fund,99717,Company 778644,Internet,Internet Software & Services,Health & Wellness,10013,0.75,5/24/2012
Rho Canada,107235,Company 810189,Internet,eCommerce,Apparel & Accessories,10001,1.13,8/26/2012
High Line Venture Partners,117665,Company 859395,Internet,Internet Software & Services,News & Discussion,Undisclosed,0.85,1/1/2012
Founder Collective,99717,Company 778642,Internet,Internet Software & Services,Health & Wellness,10013,0.75,5/24/2012
Index Ventures,117665,Company 859394,Internet,Internet Software & Services,News & Discussion,Undisclosed,0.85,1/1/2012
Greycroft Partners,107241,Company 810237,Internet,eCommerce,Apparel & Accessories,Undisclosed,2,8/26/2012
Great Oaks Venture Capital,99717,Company 778643,Internet,Internet Software & Services,Health & Wellness,10013,0.75,5/24/2012
Learn Capital,117665,Company 859398,Internet,Internet Software & Services,News & Discussion,Undisclosed,0.85,1/1/2012
Signal Ventures,107241,Company 810232,Internet,eCommerce,Apparel & Accessories,Undisclosed,2,8/26/2012
Box Group,99799,Company 778971,Internet,Internet Software & Services,Content Management,10003,0.24,5/28/2012
RRE Ventures,90105,Company 638108,Internet,Internet Software & Services,Sports,10003,0.75,1/5/2012
Tribeca Venture Partners,107241,Company 810233,Internet,eCommerce,Apparel & Accessories,Undisclosed,2,8/26/2012
Great Oaks Venture Capital,117480,Company 858527,Internet,eCommerce,Apparel & Accessories,10018,0.95,5/30/2012
ff Venture Capital,90186,Company 638941,Internet,Stealth Mode,,10003,0.3,1/6/2012
Fremont Group,107826,Company 529927,Mobile & Telecommunications,Mobile Commerce,Digital Goods,10016,0.1,9/4/2012
LaunchCapital,117480,Company 858520,Internet,eCommerce,Apparel & Accessories,10018,0.95,5/30/2012
Founder Collective,90210,Company 639043,Business Products & Services,HR & Staffing,,Undisclosed,0.2,1/6/2012
500 Startups,107848,Company 776090,Mobile & Telecommunications,Mobile Software & Services,Education & Training,10013,1.3,9/4/2012
Plug and Play Ventures,124369,Company 866422,Internet,eCommerce,Apparel & Accessories,10001,0.5,6/1/2012
SV Angel,90210,Company 639048,Business Products & Services,HR & Staffing,,Undisclosed,0.2,1/6/2012
Expansion VC,107848,Company 776097,Mobile & Telecommunications,Mobile Software & Services,Education & Training,10013,1.3,9/4/2012
Battery Ventures,100210,Company 781527,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10013,1.5,6/3/2012
FirstMark Capital,126040,Company 849052,Mobile & Telecommunications,Mobile Software & Services,Conferencing & Communication,10003,2,1/6/2012
Great Oaks Venture Capital,107848,Company 776098,Mobile & Telecommunications,Mobile Software & Services,Education & Training,10013,1.3,9/4/2012
Wellington Partners,100210,Company 781528,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10013,1.5,6/3/2012
New Vantage Group,90528,Company 150034,Internet,eCommerce,Travel (internet),11968,0.55,1/11/2012
Contour Venture Partners,107928,Company 543987,Internet,eCommerce,Travel (internet),10014,1.5,9/5/2012
First Round Capital,100961,Company 784295,Internet,Internet Software & Services,Social,10001,0.8,6/12/2012
Advancit Capital,90540,Company 641523,Internet,Internet Software & Services,,10016,0.5,1/11/2012
High Peaks Venture Partners,107928,Company 543981,Internet,eCommerce,Travel (internet),10014,1.5,9/5/2012
kbs+p Ventures,100961,Company 784298,Internet,Internet Software & Services,Social,10001,0.8,6/12/2012
Quotidian Ventures,90540,Company 641520,Internet,Internet Software & Services,,10016,0.5,1/11/2012
Vocap Ventures,107928,Company 543980,Internet,eCommerce,Travel (internet),10014,1.5,9/5/2012
Pritzker Group Venture Capital,100961,Company 784297,Internet,Internet Software & Services,Social,10001,0.8,6/12/2012
Vaizra Investments,90540,Company 641524,Internet,Internet Software & Services,,10016,0.5,1/11/2012
Battery Ventures,134773,Company 950044,Mobile & Telecommunications,Mobile Commerce,,10001,0.22,9/9/2012
Investors Circle,107097,Company 256481,Food & Beverages,Non-alcoholic beverages,,11217,Undisclosed,6/12/2012
Great Oaks Venture Capital,90929,Company 739171,Internet,Internet Software & Services,Browser Software / Plugins,10001,1.2,1/19/2012
Hillsven Capital,134773,Company 950040,Mobile & Telecommunications,Mobile Commerce,,10001,0.22,9/9/2012
Index Ventures,139313,Company 953418,Mobile & Telecommunications,Mobile Software & Services,Photo,Undisclosed,0.91,6/12/2012
Siemer Ventures,90929,Company 739171,Internet,Internet Software & Services,Browser Software / Plugins,10001,1.2,1/19/2012
ff Venture Capital,108293,Company 287998,Internet,Internet Software & Services,Customer Relationship Management,10018,1.14,9/10/2012
Lerer Ventures,139313,Company 953415,Mobile & Telecommunications,Mobile Software & Services,Photo,Undisclosed,0.91,6/12/2012
Spring Ventures,90986,Company 739737,Internet,Internet Software & Services,Real Estate,10013,0.75,1/19/2012
Founder Collective,108348,Company 814783,Mobile & Telecommunications,Mobile Software & Services,Health & Wellness,10014,1.92,9/10/2012
SV Angel,139313,Company 953413,Mobile & Telecommunications,Mobile Software & Services,Photo,Undisclosed,0.91,6/12/2012
O'Reilly AlphaTech Ventures,91262,Company 740970,Internet,Internet Software & Services,Data & Document Management,10010,1.1,1/24/2012
IA Ventures,108348,Company 814786,Mobile & Telecommunications,Mobile Software & Services,Health & Wellness,10014,1.92,9/10/2012
Thrive Capital,101167,Company 777308,Internet,Stealth Mode,,11201,0.75,6/14/2012
Spark Capital,91262,Company 740970,Internet,Internet Software & Services,Data & Document Management,10010,1.1,1/24/2012
TiE Angels,108348,Company 814787,Mobile & Telecommunications,Mobile Software & Services,Health & Wellness,10014,1.92,9/10/2012
General Catalyst Partners,101305,Company 781094,Internet,Internet Software & Services,Healthcare,10003,0.6,6/16/2012
Invus Group,91766,Company 743318,Healthcare,Biotechnology,,10010,0.37,2/2/2012
HLM Venture Partners,101305,Company 781090,Internet,Internet Software & Services,Healthcare,10003,0.6,6/16/2012
Mohr Davidow Ventures,108558,Company 739736,Internet,Internet Software & Services,Real Estate,10013,1.25,9/12/2012
Investors Circle,98786,Company 612604,Internet,Internet Software & Services,Green/Environmental,10018,Undisclosed,2/6/2012
Red Swan Ventures,101305,Company 781091,Internet,Internet Software & Services,Healthcare,10003,0.6,6/16/2012
RockPort Capital Partners,108558,Company 739731,Internet,Internet Software & Services,Real Estate,10013,1.25,9/12/2012
DFJ Gotham Ventures,98467,Company 285420,Internet,Internet Software & Services,Domain & SEO Services,10018,0.6,2/9/2012
Lerer Ventures,101494,Company 785573,Internet,Internet Software & Services,Video,11201,1.25,6/19/2012
Spring Ventures,108558,Company 739732,Internet,Internet Software & Services,Real Estate,10013,1.25,9/12/2012
First Round Capital,98467,Company 285422,Internet,Internet Software & Services,Domain & SEO Services,10018,0.6,2/9/2012
AfterDox Angels Investment Group,101657,Company 247742,Mobile & Telecommunications,Mobile Software & Services,"Advertising, Sales & Marketing",10003,2,6/20/2012
Advancit Capital,108654,Company 816127,Internet,Internet Software & Services,News & Discussion,Undisclosed,1,9/12/2012
Hub Angels Investment Group,98467,Company 285429,Internet,Internet Software & Services,Domain & SEO Services,10018,0.6,2/9/2012
500 Startups,106878,Company 173447,Mobile & Telecommunications,Telecom Services,Wireless,Undisclosed,1,6/21/2012
Google Ventures,108654,Company 816124,Internet,Internet Software & Services,News & Discussion,Undisclosed,1,9/12/2012
Javelin Venture Partners,98467,Company 285426,Internet,Internet Software & Services,Domain & SEO Services,10018,0.6,2/9/2012
BOLDstart Ventures,106878,Company 173446,Mobile & Telecommunications,Telecom Services,Wireless,Undisclosed,1,6/21/2012
Index Ventures,108654,Company 816126,Internet,Internet Software & Services,News & Discussion,Undisclosed,1,9/12/2012
Collaborative Fund,106878,Company 173440,Mobile & Telecommunications,Telecom Services,Wireless,Undisclosed,1,6/21/2012
New York Angels,98467,Company 285429,Internet,Internet Software & Services,Domain & SEO Services,10018,0.6,2/9/2012
Kleiner Perkins Caufield & Byers,108654,Company 816120,Internet,Internet Software & Services,News & Discussion,Undisclosed,1,9/12/2012
Neu Venture Capital,106878,Company 173441,Mobile & Telecommunications,Telecom Services,Wireless,Undisclosed,1,6/21/2012
Tribeca Venture Partners,98467,Company 285429,Internet,Internet Software & Services,Domain & SEO Services,10018,0.6,2/9/2012
True Ventures,108654,Company 816126,Internet,Internet Software & Services,News & Discussion,Undisclosed,1,9/12/2012
Quotidian Ventures,92478,Company 746272,Mobile & Telecommunications,Mobile Software & Services,Data & Document Management,Undisclosed,0.25,2/13/2012
Boynton Angels,107111,Company 598639,Internet,Internet Software & Services,Personal & Professional Development,10018,0.34,6/22/2012
Floodgate,110090,Company 584561,Internet,Internet Software & Services,Search,10003,Undisclosed,9/14/2012
Box Group,115155,Company 846904,Internet,Internet Software & Services,Customer Relationship Management,10010,Undisclosed,2/13/2012
Fremont Group,103217,Company 529922,Mobile & Telecommunications,Mobile Commerce,Digital Goods,10016,0.41,6/25/2012
High Line Venture Partners,91439,Company 741865,Internet,Internet Software & Services,Information Providers & Portals,11217,0.47,2/16/2012
First Round Capital,102085,Company 788946,Internet,eCommerce,Travel (internet),10012,1.2,6/26/2012
Golden Seeds,108897,Company 548461,Internet,Internet Software & Services,Data & Document Management,10003,1.23,9/17/2012
500 Startups,123844,Company 891279,Internet,Internet Software & Services,Social,10018,Undisclosed,2/17/2012
Lerer Ventures,102085,Company 788945,Internet,eCommerce,Travel (internet),10012,1.2,6/26/2012
New York Angels,109003,Company 778301,Internet,Internet Software & Services,HR & Workforce Management,10013,0.7,9/18/2012
